"Binomial","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Order","global_abundance"
"Aquila fasciata",1,1.03333333333333,1,1,1.06666666666667,1.1,NA,NA,NA,NA,"Accipitriformes",839263
"Aquila nipalensis",1,0.90566037735849,0.811320754716981,0.716981132075472,0.622641509433962,0.528301886792453,0.433962264150943,NA,NA,NA,"Accipitriformes",7466441
"Aquila rapax",1,1.01365705614568,1.02731411229135,1.04097116843703,1.0546282245827,1.06828528072838,1.08194233687405,NA,NA,NA,"Accipitriformes",2961349
"Aquila spilogaster",1,0.926829268292686,0.853658536585366,0.780487804878052,0.707317073170732,0.634146341463418,0.560975609756099,NA,NA,NA,"Accipitriformes",1231347
"Aramides saracura",1,0.46424983170568,0.203109301371235,NA,NA,NA,NA,NA,NA,NA,"Gruiformes",561474
"Archilochus alexandri",1,1.25,1,NA,NA,NA,NA,NA,NA,NA,"Caprimulgiformes",9677074
"Archilochus colubris",1,1.05258964143426,1.06241699867198,1.03019034971226,1.03479415670651,NA,NA,NA,NA,NA,"Caprimulgiformes",38146029
"Ardea alba",1,0.369267022060127,0.257135264061667,0.241986649604727,0.000212558560957074,0.00858822468513425,0.0407940672543878,NA,NA,NA,"Pelecaniformes",57358864
"Ardea cinerea",1,1.56160664687525,0.416232286525727,0.946142559791851,0.882406047689883,0.909813517158782,0.959482475427306,0.863182282497771,0.821430663058456,0.887024965060884,"Pelecaniformes",27339046
"Ardea herodias",1,1.10214193026509,1.07671364719849,0.842634879440354,0.119082728054062,NA,NA,NA,NA,NA,"Pelecaniformes",13029336
"Ardea intermedia",1,0.962493992899995,0.0120917109771032,NA,NA,NA,NA,NA,NA,NA,"Pelecaniformes",24656085
"Ardea purpurea",1,0.158230858074597,0.123343977172362,0.204633466947483,NA,NA,NA,NA,NA,NA,"Pelecaniformes",18570159
"Ardeola grayii",1,0.533333333333333,1.13333333333333,NA,NA,NA,NA,NA,NA,NA,"Pelecaniformes",12808984
"Ardeola ralloides",1,1.02084649399874,0.0413771320277957,0.517372078332291,NA,NA,NA,NA,NA,NA,"Pelecaniformes",11053563
"Arenaria interpres",1,1.26706049090065,3.67204725890808,9.64292433306995,9.23113970726569,7.17221657824436,7.82420890243445,NA,NA,NA,"Charadriiformes",57976203
"Argusianus argus",1,0.744010024869783,1.4090870262845,NA,NA,NA,NA,NA,NA,NA,"Galliformes",278532
"Asio flammeus",1,1.3090202848511,1.31506258092361,1.58286577470868,1.80729391454467,NA,NA,NA,NA,NA,"Strigiformes",15555269
"Asio otus",1,2.91358024691358,3.65432098765432,2.25925925925926,1.77777777777778,NA,NA,NA,NA,NA,"Strigiformes",1797542
"Athene cunicularia",1,0.932884263738215,4.64625960614175e-05,4.51719683930448e-05,4.3881340724672e-05,NA,NA,NA,NA,NA,"Strigiformes",11573159
"Athene noctua",1,1.14430355791067,0.840177895533687,1.19691521574565,1.19691521574565,1.05138152914459,0.933099924299773,0.896196063588191,0.513531415594246,NA,"Strigiformes",3845030
"Atrichornis rufescens",1,1.11870360690016,0.952594093020126,0.915512284370099,1.06230397284501,0.939629188836516,1.0693398111408,1.26790381616048,NA,NA,"Passeriformes",706
"Aythya affinis",1,1.03654777631,1.27626596213122,1.09114927344782,1.1982034346103,NA,NA,NA,NA,NA,"Anseriformes",25895447
"Aythya americana",1,1.68332478193946,1.75823499230375,2.34581836839405,3.00051308363263,NA,NA,NA,NA,NA,"Anseriformes",11248762
"Aythya collaris",1,1.08865628913938,1.06047593487207,1.18404007872607,1.19516013598139,NA,NA,NA,NA,NA,"Anseriformes",91130489
"Aythya ferina",1,0.267633487145683,0.471324983520106,NA,NA,NA,NA,NA,NA,NA,"Anseriformes",6271618
"Aythya fuligula",1,0.576271186440678,0.0169491525423727,NA,NA,NA,NA,NA,NA,NA,"Anseriformes",35898153
"Aythya marila",1,0.146310146186819,0.274829319702239,5.08849927973926e-05,5.2288716736631e-05,NA,NA,NA,NA,NA,"Anseriformes",23833080
"Aythya valisineria",1,1.39565854308163,1.28112931149287,1.85177786656013,1.825809029165,NA,NA,NA,NA,NA,"Anseriformes",8652710
"Baeolophus bicolor",1,1.33333333333333,1.2962962962963,1.48148148148148,1.48148148148148,NA,NA,NA,NA,NA,"Passeriformes",19693129
"Bartramia longicauda",1,0.95219469795741,1.0219469795741,1.04458930899609,0.96271186440678,NA,NA,NA,NA,NA,"Charadriiformes",4132828
"Baryphthengus martii",1,0.744077417229147,0.488154834458293,0.23223225168744,0.407825018996134,NA,NA,NA,NA,NA,"Coraciiformes",991897
"Basileuterus culicivorus",1,1,1,NA,NA,NA,NA,NA,NA,NA,"Passeriformes",8822903
"Bombycilla cedrorum",1,1.16290283693643,1.27753757132524,0.881909507353532,0.906821506067668,NA,NA,NA,NA,NA,"Passeriformes",72905406
"Bombycilla garrulus",1,0.577986801030339,0.720281437961553,1.50461105273842,1.15380769842916,3.06979167125137,4.57448076640777,7.0469063821169,4.09796365707926,3.34003706500831,"Passeriformes",17293522
"Bonasa umbellus",1,1.27628205128205,0.956837606837606,1.54282051282051,1.42897435897436,NA,NA,NA,NA,NA,"Galliformes",1755721
"Botaurus lentiginosus",1,1.29909947319996,1.03741052255102,1.28559632081335,1.2313531853625,0.094249981680061,NA,NA,NA,NA,"Pelecaniformes",1090945
"Botaurus stellaris",1,1.8125,0.8125,1.78125,1.75,1.9375,NA,NA,NA,NA,"Pelecaniformes",3366095
"Brachyramphus marmoratus",1,0.649125205030071,0.612219792236194,0.451886276653909,0.42646254784035,NA,NA,NA,NA,NA,"Charadriiformes",3152711
"Branta bernicla",1,1.3548899478103,1.36147038801906,1.01287950987066,NA,NA,NA,NA,NA,NA,"Anseriformes",14746507
"Branta canadensis",1,1.07319192235441,1.23067470256731,1.47053068252974,1.52402943018159,NA,NA,NA,NA,NA,"Anseriformes",87184210
"Branta leucopsis",1,0.54895926909918,0.578661671668037,NA,NA,NA,NA,NA,NA,NA,"Anseriformes",29948168
"Bubo virginianus",1,1.26438836553668,0.143963877237617,0.138291044947168,0.140560177863348,NA,NA,NA,NA,NA,"Strigiformes",13153941
"Bubulcus ibis",1,0.355732760773232,0.257500504218189,0.0637342826706486,NA,NA,NA,NA,NA,NA,"Pelecaniformes",166208709
"Bucephala albeola",1,1.01124538435717,1.04514937898624,0.85558912386707,0.909365558912387,NA,NA,NA,NA,NA,"Anseriformes",24445274
"Bucephala clangula",1,0.941605839416058,1.30702554744526,1.04141321978913,1.00947891321979,NA,NA,NA,NA,NA,"Anseriformes",26171669
"Bucephala islandica",1,0.954802259887006,1.01694915254237,0.776647834274952,0.817325800376647,NA,NA,NA,NA,NA,"Anseriformes",7982692
"Burhinus oedicnemus",1,0.908179378417698,0.867684994053923,0.719077525267499,0.8556193985689,0.776492119606379,0.852673431139036,0.697896020416878,0.662274649972416,1.20558279426796,"Charadriiformes",4071287
"Buteo buteo",1,1.16678988191939,1.2619343038924,1.10328223087745,1.14201743498979,1.25874396625961,1.29010980175461,1.76483500475839,1.60445994489768,3.51885249602252,"Accipitriformes",34850094
"Buteo jamaicensis",1,1.02767662053897,1.01704297159505,1.02741442097596,1.03510560815732,NA,NA,NA,NA,NA,"Accipitriformes",8074880
"Buteo lineatus",1,1.03174603174603,1.0952380952381,1,1.03174603174603,NA,NA,NA,NA,NA,"Accipitriformes",5882135
"Buteo platypterus",1,0.918847174819871,0.9871065604854,0.992036405005688,0.980280621918847,NA,NA,NA,NA,NA,"Accipitriformes",25187241
"Buteo regalis",1,1.03114571746385,1.02892102335929,0.46384872080089,0.497219132369299,NA,NA,NA,NA,NA,"Accipitriformes",206156
"Buteo swainsoni",1,1.03538175046555,1.03985102420857,0.938050900062073,0.951458721291124,NA,NA,NA,NA,NA,"Accipitriformes",4099774
"Butorides striata",1,0.786518615619341,0.192790524918539,0.187082146715541,0.181595253586819,0.52462931422915,NA,NA,NA,NA,"Pelecaniformes",24401106
"Calamospiza melanocorys",1,1.1721183800623,13.8940809968847,7.18068535825541,1.0607476635514,NA,NA,NA,NA,NA,"Passeriformes",21653109
"Calandrella brachydactyla",1,1.1298582033141,0.895880311661355,1.04116426782003,1.23366017598162,1.23971829264989,1.23996944885997,1.44392433356165,1.31065925449991,2.46649488794422,"Passeriformes",32732592
"Calcarius lapponicus",1,0.146057653414541,0.693030104463319,0.212906235796007,0.23026846117312,0.223668506201267,0.170550871866516,0.150940319158346,0.194139682604752,0.194828744317096,"Passeriformes",154820347
"Calcarius ornatus",1,0.977811923786109,0.973140749846343,0.490104486785495,0.449723417332514,NA,NA,NA,NA,NA,"Passeriformes",10245424
"Calidris alba",1,1.42619402694287,2.74175436856405,8.49674638063627,8.72288798126822,8.36752260884659,7.3337324345291,NA,NA,NA,"Charadriiformes",32522051
"Calidris alpina",1,0.789707627483017,1.0640313010577,2.1006500988907,3.73160374924757,3.10966377160547,3.28735746839797,NA,NA,NA,"Charadriiformes",74082180
"Calidris canutus",1,0.566050617314117,0.644313435096533,0.692899490376357,0.561769463311042,0.53107353861472,0.676972555921426,0.0619124607369181,NA,NA,"Charadriiformes",62640390
"Calidris ferruginea",1,1.0969525017702,0.902359779387924,1.04425720121227,1.0901998749695,1.23523618213637,1.08556460396396,0.902104286156847,NA,NA,"Charadriiformes",47681277
"Calidris maritima",1,1.7048275862069,1.54758620689655,2.91586206896552,4.55448275862068,2.55172413793103,2.52137931034482,NA,NA,NA,"Charadriiformes",24702424
"Calidris minuta",1,0.553424657534247,0.817683686176836,0.420921544209215,2.23561643835616,0.58879202988792,0.848069738480697,NA,NA,NA,"Charadriiformes",79994541
"Calidris ptilocnemis",1,1.38622082585278,2.59066427289048,NA,NA,NA,NA,NA,NA,NA,"Charadriiformes",6777985
"Calidris pugnax",1,1.43127962085308,1.24170616113744,1.70616113744076,1.67772511848341,0.540284360189574,1.67772511848341,NA,NA,NA,"Charadriiformes",11911641
"Calidris ruficollis",1,0.925440088214835,0.85647350042495,1.02927627825278,0.944988036773749,1.03522196235933,0.935327966517953,0.62444973468061,NA,NA,"Charadriiformes",42947992
"Calidris tenuirostris",1,1.10787042133965,0.908932487065085,1.37088185864975,0.880962089688739,1.13791430970034,1.5058256065725,0.138297305494262,NA,NA,"Charadriiformes",17448398
"Callipepla californica",1,0.980952380952381,1,NA,NA,NA,NA,NA,NA,NA,"Galliformes",10265045
"Camptostoma obsoletum",1,1,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,"Passeriformes",8563715
"Campylorhynchus turdinus",1,0.876903780216738,0.75380756043348,0.630711340650219,0.136578814445302,NA,NA,NA,NA,NA,"Passeriformes",5016410
"Capito niger",1,0.966946200861631,0.933892401723261,0.900838602584892,0.54573262586235,NA,NA,NA,NA,NA,"Piciformes",494669
"Caracara plancus",1,0.999242702984216,0.999242702984216,NA,NA,NA,NA,NA,NA,NA,"Falconiformes",7964178
"Cardellina canadensis",1,1.0315344603381,0.92815344603381,1.00910273081925,1.15257910706545,NA,NA,NA,NA,NA,"Passeriformes",3538974
"Cardellina pusilla",1,1.02270687190399,0.873100834469231,0.993703248113302,1.09256291765019,NA,NA,NA,NA,NA,"Passeriformes",63781688
"Cardinalis cardinalis",1,1.05791666666667,1.09958333333333,1.0675,1.15166666666667,NA,NA,NA,NA,NA,"Passeriformes",204034397
"Carduelis carduelis",1,1.0055065313693,1.05471413678156,0.90981962514477,0.960444772172705,1.03637433820745,1.02633280305738,1.08645503268303,0.984137418285718,2.0198688654156,"Passeriformes",45952282
"Carduelis citrinella",1,0.848596186560009,0.745200712611519,0.749101013481741,1.09614581038159,1.20423283387445,0.98759026243049,1.16583965778784,0.952502282219792,2.23787976928267,"Passeriformes",439264
"Carpodacus erythrinus",1,1.00397079784551,0.941643285644677,1.04798732832382,0.848415161460775,0.933882768808813,0.861363196034184,0.862161134797285,0.842722095911584,0.898564279040259,"Passeriformes",28260994
"Cathartes aura",1,1.03967280163599,1.04989775051125,1.18200408997955,1.47484662576687,NA,NA,NA,NA,NA,"Cathartiformes",70786507
"Catharus bicknelli",1,0.954545454545454,0.863636363636364,0.863636363636364,0.772727272727273,NA,NA,NA,NA,NA,"Passeriformes",3894
"Catharus fuscescens",1,1.02985306361243,1.02037307891362,1.17585755753214,1.22175468598816,NA,NA,NA,NA,NA,"Passeriformes",7843152
"Catharus guttatus",1,0.973682541695732,1.03158094996512,1.00199124865242,1.00663326780392,NA,NA,NA,NA,NA,"Passeriformes",73129157
"Catharus minimus",1,0.852272727272727,1.02840909090909,0.948863636363636,0.943181818181818,NA,NA,NA,NA,NA,"Passeriformes",70534687
"Catharus ustulatus",1,1.03421578421578,1.02267732267732,1.08749250749251,1.06765234765235,NA,NA,NA,NA,NA,"Passeriformes",301610196
"Cecropis daurica",1,1.31803757907572,1.09600464363166,1.23818607154408,1.57417513443235,1.32866851659311,1.4404939253461,1.80812131015888,1.17564969543939,2.95229068211029,"Passeriformes",40982465
"Celeus grammicus",1,0.9467504408375,0.893500881675002,0.840251322512503,0.620892989329626,NA,NA,NA,NA,NA,"Piciformes",775142
"Cepphus columba",1,0.64310376158459,0.0501544612029798,NA,NA,NA,NA,NA,NA,NA,"Charadriiformes",6216984
"Cepphus grylle",1,1.01440922190202,1.12968299711816,NA,NA,NA,NA,NA,NA,NA,"Charadriiformes",11956515
"Cercomacra cinerascens",1,0.94047061204228,0.880941224084561,0.821411836126841,0.6013962797492,NA,NA,NA,NA,NA,"Passeriformes",4329632
"Certhia americana",1,0.984053497942387,1.01594650205761,1.06466784244562,1.08583186360964,NA,NA,NA,NA,NA,"Passeriformes",11257984
"Certhia brachydactyla",1,0.933733418239485,1.05406883873336,1.00586584388768,1.01251492915909,1.08446773776189,1.12322783073715,1.09391920853975,1.16505512601204,2.28156612817627,"Passeriformes",2704404
"Certhia familiaris",1,0.993901844489805,1.18185426465663,1.03785439959475,1.17433913648855,1.06199087045696,1.07777686186717,1.16311912723331,1.02078540785726,1.09411054968511,"Passeriformes",4880227
"Certhidea olivacea",1,0.945652173913043,0.891304347826087,NA,NA,NA,NA,NA,NA,NA,"Passeriformes",159004
"Cettia cetti",1,0.990384423749123,0.897396930766317,0.952312511693416,1.02133243826499,1.03532814670082,1.1666981016924,1.08975941854079,1.03058898368701,2.17568889548194,"Passeriformes",7353439
"Chaetura pelagica",1,0.938066465256797,0.996978851963746,0.873111782477341,0.788519637462235,NA,NA,NA,NA,NA,"Caprimulgiformes",17068138
"Chaetura vauxi",1,1.046875,1.00852272727273,NA,NA,NA,NA,NA,NA,NA,"Caprimulgiformes",2170104
"Charadrius alexandrinus",1,1.13270815572606,1.26541631145212,1.08269394714407,0.706640143980297,0.715638912569859,0.804205740267121,NA,NA,NA,"Charadriiformes",44604910
"Charadrius hiaticula",1,0.9161433069526,0.899668113352055,1.54597906561144,1.52154710237427,1.31085014041358,2.4447281082461,NA,NA,NA,"Charadriiformes",35155029
"Charadrius leschenaultii",1,1.13605628548683,1.1163037902984,1.54724347781865,1.40874916132565,1.53811097182648,2.11036408800888,0.0791342656261729,NA,NA,"Charadriiformes",25542686
"Charadrius mongolus",1,0.922600935676016,1.04518945360171,0.72518431080235,0.757084676519286,0.687453027971398,0.562982064992555,0.658205516215705,NA,NA,"Charadriiformes",29188722
"Charadrius vociferus",1,0.962430757417868,1.00998190094883,1.06388294728118,0.956629310712566,NA,NA,NA,NA,NA,"Charadriiformes",24346920
"Chlidonias hybrida",1,0.941348158443363,0.985684503127171,1.79847116052814,2.08144544822793,2.54621264767199,NA,NA,NA,NA,"Charadriiformes",55424118
"Chlidonias niger",1,0.852814907074319,0.413277482830842,0.714487499739072,1.09108409814659,5.30208673991247,NA,NA,NA,NA,"Charadriiformes",26164458
"Chloris chloris",1,0.986991470919562,0.986123374046103,0.96484725387517,0.880056808763751,0.911300750031687,0.900190399587914,0.903027599606021,0.879916306597029,1.81826009869234,"Passeriformes",24909193
"Chlorostilbon lucidus",1,0.987918800388875,0.987918800388875,NA,NA,NA,NA,NA,NA,NA,"Caprimulgiformes",6777433
"Chondestes grammacus",1,1.08446601941748,1.00388349514563,1.34110032362459,1.43689320388349,NA,NA,NA,NA,NA,"Passeriformes",22828388
"Chordeiles minor",1,1.0360824742268,0.970544918998527,1.02929144166258,0.941744395352643,NA,NA,NA,NA,NA,"Caprimulgiformes",8819444
"Ciconia ciconia",1,1.78658327738017,1.87548800803351,1.96625082093887,2.73797755863563,2.85578165168582,0.0964321264059651,0.102291433330727,0.0865091557875875,0.0928427020681319,"Ciconiiformes",24808762
"Ciconia nigra",1,0.145518044237485,0.174621653084983,NA,NA,NA,NA,NA,NA,NA,"Ciconiiformes",5943832
"Circaetus cinereus",1,1.0172744721689,1.03454894433781,1.05182341650672,1.06909788867562,1.08637236084453,1.10364683301343,NA,NA,NA,"Accipitriformes",852915
"Circaetus pectoralis",1,1.0176282051282,1.03525641025641,1.05288461538461,1.07051282051282,1.08814102564103,1.10576923076923,NA,NA,NA,"Accipitriformes",707568
"Circus aeruginosus",1,0.907663503441818,0.838287767205163,1.39954732968767,1.45305270512459,1.38050959336759,1.48803575198254,1.68752931017533,1.28683491920836,1.33943833884751,"Accipitriformes",14846934
"Circus cyaneus",1,3,4,NA,NA,NA,NA,NA,NA,NA,"Accipitriformes",4934070
"Circus hudsonius",1,1.0427954456223,0.979583824106792,1.00706713780919,0.996760895170789,NA,NA,NA,NA,NA,"Accipitriformes",2986142
"Cisticola juncidis",1,1.22013239454228,0.959402693762219,1.14291860642138,1.38331170321669,1.38626903288476,1.57468819741285,1.38525918699621,0.836104392193722,2.12170394477741,"Passeriformes",22628787
"Cistothorus palustris",1,1.00031655587211,1.0664767331434,1.16201329534663,1.15859449192783,NA,NA,NA,NA,NA,"Passeriformes",4047960
"Cistothorus platensis",1,0.973410404624278,0.754624277456647,1.19325626204239,1.03044315992293,NA,NA,NA,NA,NA,"Passeriformes",16789354
"Clamator glandarius",1,0.995322918287843,0.791737855742238,0.721477623192209,0.663751355930538,0.658231315058644,0.66188332702661,0.752978929941118,0.463215976833672,1.29431879861107,"Cuculiformes",1362322
"Clanga pomarina",1,0.883116883116882,0.766233766233767,0.649350649350649,0.532467532467531,0.415584415584416,0.298701298701299,NA,NA,NA,"Accipitriformes",3258084
"Clangula hyemalis",1,0.723187131002632,0.0386194835815149,0.00674539767138049,0.00537133518276595,NA,NA,NA,NA,NA,"Anseriformes",39986676
"Coccothraustes coccothraustes",1,1.073441637486,1.16954745281182,1.34754424514497,1.26209713668384,1.38317410912265,1.22285019917196,1.40836470289381,1.39472401813685,1.350816253613,"Passeriformes",9271162
"Coccyzus americanus",1,0.984126984126984,0.888888888888889,0.968253968253968,0.857142857142857,NA,NA,NA,NA,NA,"Cuculiformes",13010576
"Coccyzus erythropthalmus",1,0.66461193611656,1.66741384141216,0.682824320537968,0.931913701316898,NA,NA,NA,NA,NA,"Cuculiformes",1040875
"Colaptes auratus",1,0.944855385638298,1.00943317819149,0.926612367021277,0.940699800531915,NA,NA,NA,NA,NA,"Piciformes",20923123
"Colaptes campestris",1,5.61321629563347,37.4214419708898,NA,NA,NA,NA,NA,NA,NA,"Piciformes",3980957
"Colaptes melanochloros",1,1.10333397388447,1.22592663764941,NA,NA,NA,NA,NA,NA,NA,"Piciformes",3731037
"Colinus virginianus",1,1,1,1,1,NA,NA,NA,NA,NA,"Galliformes",2466028
"Columba livia",1,1.02045676374255,0.0463463527009345,0.0377054291331473,0.03930087051314,0.00808370868193479,0.00637521156415716,0.00867207516974836,0.00962537783354756,NA,"Columbiformes",285765338
"Columba oenas",1,1.09522750171303,0.959156144458784,0.993312340681016,0.955138189229041,1.0948723620286,1.1354049665009,1.19566507935608,1.13397372412689,2.40320496529931,"Columbiformes",4983876
